kode,nama,ranking,klaster,input,proses,output,outcome,total
133024,STISIP Al Washliyah Banda Aceh,1534,5,1.080,1.200,0.000,0.000,0.516
043292,STIKES Faathir Husada,1535,5,0.878,1.362,0.000,0.000,0.516
103037,Sekolah Tinggi Ilmu Administrasi Lancang Kuning,1536,5,0.000,1.610,0.087,0.304,0.516
103002,STKIP Ahlussunnah,1537,5,0.081,1.987,0.010,0.000,0.515
013105,STMIK Time,1538,5,0.878,1.315,0.038,0.000,0.514
043309,STMIK Muhammadiyah Banten,1539,5,0.895,1.272,0.061,0.000,0.512
081028,Universitas Cordova,1540,5,1.023,1.200,0.026,0.001,0.511
093134,Sekolah Tinggi Ilmu Kesehatan Yapika,1541,5,0.337,1.759,0.017,0.000,0.511
123062,Sekolah Tinggi Ilmu Komputer Ambon,1542,5,0.303,1.400,0.095,0.256,0.511
013091,Sekolah Tinggi Ilmu Ekonomi ITMI Medan,1543,5,1.000,1.200,0.032,0.011,0.511
093108,Sekolah Tinggi Ilmu Ekonomi Yapi Bone,1544,5,1.000,1.064,0.000,0.150,0.511
061021,Universitas Pandanaran,1545,5,0.116,1.609,0.268,0.061,0.511
073106,Sekolah Tinggi Ilmu Ekonomi Gempol,1546,5,0.350,1.641,0.122,0.000,0.511
053013,Sekolah Tinggi Ilmu Ekonomi Mitra Indonesia,1547,5,1.053,1.200,0.000,0.000,0.511
043339,STKIP Situs Banten di Serang,1548,5,1.022,1.200,0.024,0.000,0.510
123065,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Saumlaki,1549,5,0.960,1.200,0.072,0.000,0.510
043200,STMIK Tasikmalaya,1550,5,0.001,1.971,0.062,0.004,0.509
013179,S.T. Manajemen Bisnis Multi Sarana Manajemen Administrasi dan Rekayasa Teknologi,1551,5,1.000,1.199,0.038,0.000,0.509
103136,Sekolah Tinggi Ilmu Komputer Muhammadiyah Batam,1552,5,1.000,1.200,0.035,0.000,0.509
031067,Universitas Pradita,1553,5,0.912,1.244,0.061,0.000,0.509
113078,STMIK Borneo Internasional,1554,5,1.000,1.233,0.000,0.000,0.508
033060,Sekolah Tinggi Ilmu Ekonomi Bisnis Indonesia,1555,5,1.272,0.965,0.016,0.028,0.508
043356,STIKES Muhammadiyah Cirebon,1556,5,0.832,1.213,0.152,0.000,0.508
061041,Universitas Nahdlatul Ulama Al Ghazali Cilacap,1557,5,1.000,1.214,0.014,0.000,0.507
123045,STMIK Tidore Mandiri,1558,5,1.000,1.226,0.000,0.000,0.507
042011,Institut Manajemen Wiyata Indonesia,1559,5,1.077,1.163,0.000,0.000,0.506
113090,Sekolah Tinggi Bahasa Harapan Bersama,1560,5,1.001,1.201,0.022,0.000,0.506
143040,Sekolah Tinggi Manajemen dan Ilmu Komputer Umel Mandiri,1561,5,1.000,1.200,0.022,0.000,0.506
043108,STMIK Bani Saleh,1562,5,0.000,1.933,0.082,0.004,0.505
043027,STMIK Mardira Indonesia,1563,5,1.117,1.117,0.005,0.003,0.505
023122,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Kumala Lampung,1564,5,1.000,1.199,0.018,0.000,0.504
033116,Sekolah Tinggi Bahasa Asing Pertiwi Indonesia,1565,5,1.165,1.085,0.000,0.000,0.504
111021,Universitas Nahdlatul Ulama Kalimantan Selatan,1566,5,1.000,1.213,0.000,0.000,0.503
111022,Universitas Nahdlatul Ulama Kalimantan Barat,1567,5,1.000,1.200,0.010,0.000,0.503
013109,STMIK Logika,1568,5,1.000,1.200,0.010,0.000,0.502
102005,Institut Bisnis Dan Teknologi Pelita Indonesia,1569,5,1.392,0.400,0.150,0.288,0.502
043227,Sekolah Tinggi Ilmu Ekonomi BII Bekasi,1570,5,0.759,1.400,0.000,0.000,0.502
093129,STIMED Nusa Palapa,1571,5,1.000,1.001,0.022,0.150,0.501
143001,Sekolah Tinggi Ilmu Hukum Manokwari,1572,5,0.156,1.878,0.000,0.000,0.501
073113,Sekolah Tinggi Teknologi Pomosda,1573,5,0.463,1.632,0.000,0.000,0.501
043266,Sekolah Tinggi Ilmu Ekonomi Banten,1574,5,0.060,1.908,0.045,0.000,0.500
013177,STIKES Syuhada di Padangsidimpuan,1575,5,1.000,1.200,0.000,0.000,0.500
023031,Sekolah Tinggi Bahasa Asing Yunisla Bandar Lampung,1576,5,1.000,1.200,0.000,0.000,0.500
023078,STIPSI Abdi Nusa,1577,5,1.000,1.200,0.000,0.000,0.500
033164,STMIK Mahakarya,1578,5,1.000,1.200,0.000,0.000,0.500
043246,Sekolah Tinggi Bahasa Asing Cipto Hadi Pranoto,1579,5,1.000,1.200,0.000,0.000,0.500
123067,Sekolah Tinggi Ilmu Hukum Muhammad Thaha Tual,1580,5,1.000,1.200,0.000,0.000,0.500
141006,Universitas Timika,1581,5,1.000,1.200,0.000,0.000,0.500
093194,STKIP Pelita Nusantara Buton,1582,5,1.000,1.200,0.000,0.000,0.500
073175,Sekolah Tinggi Ilmu Kesehatan Harapan Bangsa,1583,5,1.000,1.200,0.000,0.000,0.500
083092,Sekolah Tinggi Ilmu Ekonomi Karya,1584,5,1.000,1.200,0.000,0.000,0.500
043359,Sekolah Tinggi Ilmu Komputer El Rahma,1585,5,1.000,1.200,0.000,0.000,0.500
033203,Sekolah Tinggi Ilmu Ekonomi BPKP,1586,5,1.000,1.200,0.000,0.000,0.500
103105,Sekolah Tinggi Teknologi Indragiri,1587,5,1.000,1.200,0.000,0.000,0.500
123069,STKIP Hunimua,1588,5,1.000,1.200,0.000,0.000,0.500
053028,Sekolah Tinggi Psikologi Yogyakarta,1589,5,1.000,1.200,0.000,0.000,0.500
033099,Sekolah Tinggi Ilmu Ekonomi Dr Moechtar Talib,1590,5,1.322,0.942,0.000,0.000,0.500
082006,Institut Ilmu Sosial dan Ilmu Budaya Samawa Rea,1591,5,1.000,1.200,0.000,0.000,0.500
043280,STIKES Sebelas April Sumedang,1592,5,1.000,1.199,0.000,0.000,0.500
072023,Institut Teknologi dan Bisnis Asia Malang,1593,5,0.295,1.133,0.000,0.525,0.500
063045,Sekolah Tinggi Ilmu Administrasi Madani,1594,5,1.000,1.199,0.000,0.000,0.500
043335,STKIP Purwakarta,1595,5,1.000,1.199,0.000,0.000,0.500
